RACE,TRACK,DATE,WIN,PLACE,SHOW,4TH
Iroquois,Churchill Downs,12-Sep-15,COCKED AND LOADED,RATER R SUPERSTAR,UNBRIDLED OUTLAW,CONQUEST WINDY CITY
FrontRunner,Santa Anita Park,26-Sep-15,NYQUIST,SWIPE,HOLLYWOOD DON,RARE CANDY
Champagne,Belmont Park,3-Oct-15,GREENPOINTCRUSADER,SUNNY RIDGE,PORTFOLIO MANAGER,SAIL AHOY
Breeders' Futurity,Keeneland,3-Oct-15,BRODY'S CAUSE,EXAGGERATOR,RATER R SUPERSTAR,STICKSSTATELYDUDE
Grey,Woodbine,4-Oct-15,RIKER,KASSEOPIA,TIZZARUNNER,
Breeders' Cup Juvenile,Keeneland,31-Oct-15,NYQUIST,SWIPE,BRODY'S CAUSE,EXAGGERATOR
Delta Downs Jackpot,Delta Downs,21-Nov-15,EXAGGERATOR,SUNNY RIDGE,HARLAN PUNCH,FOUND MONEY
Remsen,Aqueduct,28-Nov-15,MOHAYMEN,FLEXIBILITY,GIFT BOX,SAIL AHOY
Kentucky Jockey Club,Churchill Downs,28-Nov-15,AIROFORCE,MOR SPIRIT,MO TOM,GUN RUNNER
Los Alamitos Futurity,Los Alamitos Race Course,19-Dec-15,MOR SPIRIT,TOEWS ON ICE,I'MALREADYTHERE,URLACHER
Jerome,Aqueduct,2-Jan-16,FLEXIBILITY,VORTICITY,IN EQUALITY,
Sham,Santa Anita Park,9-Jan-16,COLLECTED,LET'S MEET IN RIO,LAOBAN,FOUND MONEY
LeComte,Fair Grounds,16-Jan-16,MO TOM,TOM'S READY,UNCLE WALTER,DESTIN
Smarty Jones,Oaklawn Park,18-Jan-16,DISCREETNESS,GORDY FLORIDA,SYNCHRONY,LUNA DE LOCO
Holy Bull,Gulfstream Park,30-Jan-16,MOHAYMEN,GREENPOINTCRUSADER,FELLOWSHIP,CONQUEST BIG E
Withers,Aqueduct,30-Jan-16,SUNNY RIDGE,VORTICITY,ADVENTIST,FLEXIBILITY
Robert B. Lewis,Santa Anita Park,6-Feb-16,MOR SPIRIT,UNCLE LINO,I WILL SCORE,DRESSED IN HERMES
El Camino Real Derby,Golden Gate Fields,13-Feb-16,FRANK CONVERSATION,TUSK,KASSEOPIA,SAN DIMAS
Southwest,Oaklawn Park,15-Feb-16,SUDDENBREAKINGNEWS,WHITMORE,AMERICAN DUBAI,COLLECTED
Risen Star,Fair Grounds,20-Feb-16,GUN RUNNER,FOREVAMO,MO TOM,CANDY MY BOY
Fountain of Youth,Gulfstream Park,27-Feb-16,MOHAYMEN,ZULU,FELLOWSHIP,AWESOME SPEED
Gotham,Aqueduct,5-Mar-16,SHAGAF,LAOBAN,ADVENTIST,SUNNY RIDGE
Tampa Bay Derby,Tampa Bay Downs,12-Mar-16,DESTIN,OUTWORK,STAR HILL,RAFTING
San Felipe,Santa Anita Park,12-Mar-16,DANZIG CANDY,MOR SPIRIT,EXAGGERATOR,UNCLE LINO
Rebel,Oaklawn Park,19-Mar-16,CUPID,WHITMORE,CREATOR,CHERRY WINE
UAE Derby,Meydan Racecourse,26-Mar-16,LANI,POLAR RIVER,YU CHANGE,VALE DORI
Louisiana Derby,Fair Grounds,26-Mar-16,GUN RUNNER,TOM'S READY,DAZZLING GEM,MO TOM
Spiral,Turfway Park,2-Apr-16,OSCAR NOMINATED,AZAR,SURGICAL STRIKE,TWO STEP TIME
Florida Derby,Gulfstream Park,2-Apr-16,NYQUIST,MAJESTO,FELLOWSHIP,MOHAYMEN
Wood Memorial,Aqueduct,9-Apr-16,OUTWORK,TROJAN NATION,ADVENTIST,MATT KING COAL
Blue Grass,Keeneland,9-Apr-16,BRODY'S CAUSE,MY MAN SAM,CHERRY WINE,LAOBAN
Santa Anita Derby,Santa Anita Park,9-Apr-16,EXAGGERATOR,MOR SPIRIT,UNCLE LINO,DANZIG CANDY
Arkansas Derby,Oaklawn Park,16-Apr-16,CREATOR,SUDDENBREAKINGNEWS,WHITMORE,DAZZLING GEM
Lexington,Keeneland,16-Apr-16,COLLECTED,ONE MORE ROUND,SYNCHRONY,DIRECT MESSAGE
KENTUCKY DERBY,Churchill Downs,,NYQUIST,EXAGGERATOR,GUN RUNNER,MOHAYMEN
PREAKNESS STAKES,PIMLICO,,EXAGGERATOR,CHERRY WINE,NYQUIST,STRADIVARI
